tape_A
t	L
0.000000000e0	1.133069407e1
8.341666667e-3	1.140429723e1
1.668333333e-2	1.159927433e1
2.502500000e-2	1.178884211e1
3.336666667e-2	1.159069262e1
4.170833333e-2	1.152086009e1
5.005000000e-2	1.197058575e1
5.839166667e-2	1.216934935e1
6.673333333e-2	1.305992626e1
7.507500000e-2	1.187146976e1
8.341666667e-2	1.253563954e1
9.175833333e-2	1.310563487e1
1.001000000e-1	1.429288274e1
1.084416667e-1	1.425355455e1
1.167833333e-1	1.520951701e1
1.251250000e-1	1.648449851e1
1.334666667e-1	1.743774162e1
1.418083333e-1	1.808354241e1
1.501500000e-1	1.820423512e1
1.584916667e-1	1.841624514e1
1.668333333e-1	1.871051423e1
1.751750000e-1	1.767571526e1
1.835166667e-1	1.726117439e1
1.918583333e-1	1.546377690e1
2.002000000e-1	1.590129901e1
2.085416667e-1	1.607498196e1
2.168833333e-1	1.618210503e1
2.252250000e-1	1.563980127e1
2.335666667e-1	1.475694117e1
2.419083333e-1	1.387120153e1
2.502500000e-1	1.195745855e1
