mass_B
t	x	y	v	a
0.000000000e0	7.191673430e1	1.666939569e2		
8.341666667e-3	7.055708546e1	1.625583584e2	4.874375658e2	
1.668333333e-2	7.072704156e1	1.586493679e2	5.028083577e2	1.966165759e4
2.502500000e-2	7.225664651e1	1.543438133e2	4.915482527e2	1.222624094e4
3.336666667e-2	7.486264011e1	1.515678636e2	4.735790584e2	4.072462052e3
4.170833333e-2	7.718537354e1	1.481687415e2	5.574061818e2	1.278178018e4
5.005000000e-2	7.888493459e1	1.431833624e2	6.807732709e2	1.400734117e4
5.839166667e-2	8.262396889e1	1.381979833e2	7.783031502e2	1.210112546e4
6.673333333e-2	8.670291540e1	1.328160400e2	8.004268012e2	8.265278660e3
7.507500000e-2	9.117842616e1	1.279439650e2	6.867263664e2	2.286429064e4
8.341666667e-2	9.480415639e1	1.247147990e2	4.798777455e2	4.685710555e4
9.175833333e-2	9.410353250e1	1.204915054e2	5.954471495e2	4.063601402e4
1.001000000e-1	8.933464290e1	1.164220529e2	6.632648264e2	1.603619505e4
1.084416667e-1	8.513802005e1	1.140058155e2	4.746255069e2	2.165119193e4
1.167833333e-1	8.246744188e1	1.124797709e2	2.952466586e2	2.643364205e4
1.251250000e-1	8.132290838e1	1.108901410e2	1.624629532e2	2.333125370e4
1.334666667e-1	8.267413897e1	1.097772401e2	2.198694230e2	8.357881157e3
1.418083333e-1	8.437499772e1	1.088554148e2	2.047932270e2	6.474740203e3
1.501500000e-1	8.508282457e1	1.073540977e2	2.286634927e2	7.176404697e3
1.584916667e-1	8.588382140e1	1.053516056e2	1.898905710e2	6.338274329e3
1.668333333e-1	8.583745719e1	1.042772808e2	1.219294024e2	1.536930685e4
1.751750000e-1	8.723633148e1	1.038321844e2	2.819589612e2	2.653049234e4
1.835166667e-1	9.047917640e1	1.035142584e2	5.145396666e2	1.563321368e4
1.918583333e-1	9.582033275e1	1.037685992e2	5.645833254e2	5.975238126e3
2.002000000e-1	9.989283432e1	1.038353327e2	3.900531590e2	1.946010279e4
2.085416667e-1	1.023211194e2	1.034755867e2	2.323677975e2	9.606000197e3
2.168833333e-1	1.037601032e2	1.035655232e2	2.249788225e2	4.545495929e3
2.252250000e-1	1.060356327e2	1.029367191e2	3.148970514e2	7.684437356e3
2.335666667e-1	1.088172503e2	1.021425453e2	3.391475243e2	1.426083754e3
2.419083333e-1	1.113622848e2	1.010285788e2	2.900829730e2	3.702546287e3
2.502500000e-1	1.134200739e2	1.006474638e2	3.335766059e2	8.003041985e3
2.585916667e-1	1.168767026e2	1.002787053e2	3.930376503e2	1.478181745e4
2.669333333e-1	1.199772516e2	1.006498813e2	2.648560348e2	1.682794248e4
2.752750000e-1	1.203664719e2	1.029891032e2	2.444032266e2	5.248340115e3
2.836166667e-1	1.219817863e2	1.042005889e2	2.154834293e2	6.154943453e3
2.919583333e-1	1.231932721e2	1.052101604e2	1.434572197e2	1.237030289e4
3.003000000e-1	1.230923149e2	1.063206891e2	1.704083398e2	1.124037728e4
3.086416667e-1	1.223856149e2	1.079360035e2	2.300319576e2	9.373030543e3
3.169833333e-1	1.213760434e2	1.097532322e2	3.004434315e2	
3.253250000e-1	1.195588147e2	1.120752466e2		
