tape_A
t	L
0.000000000e0	1.038927454e1
8.341666667e-3	1.011792744e1
1.668333333e-2	1.084806813e1
2.502500000e-2	1.050401622e1
3.336666667e-2	1.201653508e1
4.170833333e-2	1.210685395e1
5.005000000e-2	1.071978183e1
5.839166667e-2	1.106897103e1
6.673333333e-2	1.227371255e1
7.507500000e-2	1.216837112e1
8.341666667e-2	1.119883814e1
9.175833333e-2	1.176515608e1
1.001000000e-1	1.187365663e1
1.084416667e-1	1.240909914e1
1.167833333e-1	1.321909306e1
1.251250000e-1	1.359763986e1
1.334666667e-1	1.345355651e1
1.418083333e-1	1.322095282e1
1.501500000e-1	1.352088949e1
1.584916667e-1	1.327483034e1
1.668333333e-1	1.470623540e1
1.751750000e-1	1.562389286e1
1.835166667e-1	1.559180604e1
1.918583333e-1	1.601137994e1
2.002000000e-1	1.472834526e1
2.085416667e-1	1.511950886e1
2.168833333e-1	1.546891903e1
2.252250000e-1	1.577993313e1
2.335666667e-1	1.654228281e1
2.419083333e-1	1.588219788e1
2.502500000e-1	1.588714353e1
2.585916667e-1	1.611890245e1
2.669333333e-1	1.592045572e1
2.752750000e-1	1.638190186e1
2.836166667e-1	1.675974528e1
2.919583333e-1	1.661833822e1
3.003000000e-1	1.656201666e1
3.086416667e-1	1.738419077e1
3.169833333e-1	1.751434813e1
3.253250000e-1	1.739722817e1
3.336666667e-1	1.658894632e1
3.420083333e-1	1.644787534e1
3.503500000e-1	1.642200426e1
3.586916667e-1	1.677016129e1
3.670333333e-1	1.635496468e1
3.753750000e-1	1.612326107e1
3.837166667e-1	1.581681975e1
3.920583333e-1	1.443805866e1
4.004000000e-1	1.372592932e1
4.087416667e-1	1.382355889e1
4.170833333e-1	1.366051744e1
4.254250000e-1	1.248306923e1
4.337666667e-1	1.369988681e1
