mass_A
t	x	y	v	a
0.000000000e0	7.194722454e1	1.793043090e2		
8.341666667e-3	7.291054492e1	1.749693673e2	4.878690078e2	
1.668333333e-2	7.403441869e1	1.714371926e2	4.930950533e2	2.018784980e3
2.502500000e-2	7.530202934e1	1.670981796e2	4.989861376e2	4.671220102e3
3.336666667e-2	7.571604465e1	1.632840564e2	5.028301223e2	4.891980153e3
4.170833333e-2	7.637846162e1	1.587786457e2	5.921796122e2	5.911299709e3
5.005000000e-2	7.780103699e1	1.536270425e2	5.686267684e2	5.808869976e3
5.839166667e-2	7.921501844e1	1.497260586e2	5.521604343e2	4.858996414e3
6.673333333e-2	8.121414581e1	1.450707957e2	6.394428231e2	1.134418718e4
7.507500000e-2	8.347420450e1	1.399451402e2	7.323026326e2	7.885774099e3
8.341666667e-2	8.616356833e1	1.339009977e2	7.825622259e2	9.624290804e3
9.175833333e-2	8.908249076e1	1.281553293e2	7.998725905e2	2.658170010e4
1.001000000e-1	9.357033162e1	1.228006989e2	7.877026907e2	2.436438963e4
1.084416667e-1	1.001384537e2	1.210514657e2	5.534453205e2	4.399756178e4
1.167833333e-1	1.021683330e2	1.194349246e2	3.285680433e2	6.667767429e4
1.251250000e-1	9.837073777e1	1.158627056e2	7.626715768e2	3.033189312e4
1.334666667e-1	9.193612232e1	1.118718828e2	7.379885126e2	3.020108609e4
1.418083333e-1	8.800256412e1	1.092227518e2	2.715572432e2	6.773227568e4
1.501500000e-1	8.968837478e1	1.079383246e2	4.947727687e2	5.925975708e4
1.584916667e-1	9.619078731e1	1.081791547e2	8.359922722e2	1.166902712e4
1.668333333e-1	1.035762435e2	1.092227518e2	6.573863315e2	4.193488908e4
1.751750000e-1	1.071084182e2	1.092227518e2	1.670321981e2	5.097084789e4
1.835166667e-1	1.056634377e2	1.073763877e2	3.122749520e2	1.583005826e4
1.918583333e-1	1.038511492e2	1.051567857e2	2.777441647e2	2.954648765e4
2.002000000e-1	1.046158577e2	1.028626600e2	3.093739924e2	4.209392744e4
2.085416667e-1	1.086943034e2	1.033724657e2	5.942094648e2	1.924596247e4
2.168833333e-1	1.144296177e2	1.042646257e2	5.453515948e2	2.079679642e4
2.252250000e-1	1.176159034e2	1.051567857e2	2.307378353e2	3.430794697e4
2.335666667e-1	1.182531605e2	1.038185457e2	1.528366635e2	1.369233607e4
2.419083333e-1	1.175521776e2	1.026077571e2	1.151632265e2	1.518148257e4
2.502500000e-1	1.184443376e2	1.019067743e2	2.177242172e2	2.378241785e4
2.585916667e-1	1.211845433e2	1.026077571e2	3.864011915e2	1.308644784e4
2.669333333e-1	1.247425582e2	1.032812790e2	4.021984364e2	7.762770524e3
2.752750000e-1	1.275264712e2	1.047996039e2	2.873735018e2	1.649878316e4
2.836166667e-1	1.288735050e2	1.057145999e2	1.150381133e2	1.540364049e4
2.919583333e-1	1.293074294e2	1.055148594e2	6.754235566e1	2.649936713e3
3.003000000e-1	1.297853338e2	1.050525442e2	1.107234681e2	6.764897270e3
3.086416667e-1	1.311536929e2	1.054549121e2	1.738756613e2	5.754309573e3
3.169833333e-1	1.326551718e2	1.054754143e2	1.851285077e2	1.141823156e3
3.253250000e-1	1.341845890e2	1.060489457e2	1.611995562e2	1.623355848e3
3.336666667e-1	1.352679261e2	1.061126714e2	1.459514151e2	3.520304976e3
3.420083333e-1	1.366061661e2	1.063038486e2	1.299267460e2	5.508906155e3
3.503500000e-1	1.374346004e2	1.061763971e2	4.965640042e1	5.109117941e3
3.586916667e-1	1.374346004e2	1.063038486e2	3.149824368e1	4.629277027e3
3.670333333e-1	1.379444061e2	1.063038486e2	4.470871274e1	1.340683720e4
3.753750000e-1	1.376895032e2	1.070048314e2	2.047385839e2	2.080379116e4
3.837166667e-1	1.352042004e2	1.083430714e2	3.611204287e2	5.945816078e3
3.920583333e-1	1.317630118e2	1.080881685e2	2.714691358e2	7.619250206e3
4.004000000e-1	1.307097674e2	1.089016450e2	1.897965315e2	1.228776281e4
4.087416667e-1	1.287028500e2	1.089016450e2	1.249213362e2	9.592928470e3
4.170833333e-1	1.287028500e2	1.094635819e2	1.764687523e2	1.330892253e4
4.254250000e-1	1.281409131e2	1.117916061e2	3.002263972e2	
4.337666667e-1	1.268564859e2	1.141196303e2		
