mass_B
t	x	y	v	a
0.000000000e0	6.702165862e1	1.632549653e2		
8.341666667e-3	6.639100036e1	1.573267776e2	8.262934958e2	
1.668333333e-2	6.601260540e1	1.495066152e2	8.848503726e2	6.996515674e3
2.502500000e-2	6.601260540e1	1.425693743e2	8.081079169e2	2.010013188e4
3.336666667e-2	6.348997236e1	1.362627917e2	8.419176436e2	1.482376775e4
4.170833333e-2	5.983215445e1	1.299562091e2	7.916364281e2	1.213490971e4
5.005000000e-2	5.718338975e1	1.246586798e2	6.318200048e2	2.902118897e4
5.839166667e-2	5.604820489e1	1.201179403e2	4.312045043e2	4.690189633e4
6.673333333e-2	5.743565306e1	1.174691756e2	5.139362383e2	4.303992687e4
7.507500000e-2	6.374223566e1	1.163339907e2	6.975616140e2	1.124284074e4
8.341666667e-2	6.903976505e1	1.165862540e2	3.077531532e2	
9.175833333e-2	6.828297514e1	1.139374893e2		
