tape_A
t	L
0.000000000e0	1.117529285e1
8.341666667e-3	9.702303793e0
1.668333333e-2	1.106297550e1
2.502500000e-2	1.140567738e1
3.336666667e-2	1.089780394e1
4.170833333e-2	1.214144095e1
5.005000000e-2	1.277919688e1
5.839166667e-2	1.284377005e1
6.673333333e-2	1.299217244e1
7.507500000e-2	1.275427400e1
8.341666667e-2	9.613350403e0
9.175833333e-2	1.014713267e1
