mass_A
t	x	y	v	a
0.000000000e0	7.507036424e1	1.784826159e2		
8.341666667e-3	7.458976614e1	1.738368343e2	5.507073857e2	
1.668333333e-2	7.537250842e1	1.692999505e2	5.043599182e2	1.426227845e4
2.502500000e-2	7.662309510e1	1.656718004e2	4.712485601e2	8.671598347e3
3.336666667e-2	7.892834168e1	1.622880290e2	5.151289633e2	6.509336111e3
4.170833333e-2	8.116023926e1	1.583730107e2	5.786443134e2	7.834269212e3
5.005000000e-2	8.334606902e1	1.537044448e2	6.480590035e2	1.124614282e4
5.839166667e-2	8.658982940e1	1.490234528e2	7.347287557e2	1.213990881e4
6.673333333e-2	9.077312097e1	1.439529980e2	7.915745720e2	5.001100442e3
7.507500000e-2	9.543405021e1	1.392162667e2	7.054307927e2	2.167934438e4
8.341666667e-2	9.893975494e1	1.354786857e2	4.876302511e2	4.276683058e4
9.175833333e-2	9.876979884e1	1.317963034e2	5.406354708e2	3.909369770e4
1.001000000e-1	9.486080843e1	1.274340967e2	6.045918910e2	1.516478550e4
1.084416667e-1	9.083851395e1	1.255645796e2	4.618312701e2	1.986962088e4
1.167833333e-1	8.828917238e1	1.234118022e2	2.868519106e2	2.495536244e4
1.251250000e-1	8.742708706e1	1.222083056e2	1.280639774e2	2.023777981e4
1.334666667e-1	8.847090062e1	1.212830109e2	1.777853079e2	9.961603632e3
1.418083333e-1	8.971472343e1	1.203204016e2	2.063798552e2	1.614073705e3
1.501500000e-1	9.117861354e1	1.191562163e2	1.842563844e2	5.510799116e3
1.584916667e-1	9.181446549e1	1.180752680e2	1.416348142e2	2.533568239e3
1.668333333e-1	9.213239146e1	1.169943197e2	1.416544045e2	1.468062025e4
1.751750000e-1	9.327455145e1	1.162169938e2	2.813614142e2	2.150831641e4
1.835166667e-1	9.678697761e1	1.163869499e2	4.554832472e2	1.265053071e4
1.918583333e-1	1.008659241e2	1.165569060e2	4.591667134e2	6.028437647e3
2.002000000e-1	1.043896586e2	1.173258055e2	3.551245849e2	1.349179397e4
2.085416667e-1	1.067280072e2	1.174157420e2	2.328051079e2	1.005978569e4
2.168833333e-1	1.082569275e2	1.169660596e2	2.067072514e2	8.277772518e2
2.252250000e-1	1.101040621e2	1.167122784e2	2.505727651e2	5.768293157e3
2.335666667e-1	1.124353140e2	1.168366832e2	2.736099904e2	1.232875790e3
2.419083333e-1	1.143013776e2	1.149180455e2	2.377073243e2	7.551551039e3
2.502500000e-1	1.161619735e2	1.154805174e2	3.407100957e2	9.131592150e3
2.585916667e-1	1.199576599e2	1.154805174e2	3.874849654e2	7.916068915e3
2.669333333e-1	1.226203055e2	1.151972572e2	1.937945530e2	2.300451776e4
2.752750000e-1	1.231301738e2	1.161036897e2	1.828765086e2	1.708457639e4
2.836166667e-1	1.230944859e2	1.182111735e2	2.107708558e2	8.156245836e3
2.919583333e-1	1.225234782e2	1.195673166e2	4.607847514e1	9.333272633e3
3.003000000e-1	1.228089820e2	1.189249330e2	3.258240224e1	3.804329953e3
3.086416667e-1	1.220238465e2	1.197814445e2	1.452096049e2	1.351007286e4
3.169833333e-1	1.210959591e2	1.206379559e2	2.318969303e2	
3.253250000e-1	1.189546805e2	1.221368510e2		
