mass_A
t	x	y	v	a
0.000000000e0	8.046323808e1	1.781281538e2		
8.341666667e-3	8.134757427e1	1.719378004e2	7.260872030e2	
1.668333333e-2	8.210557672e1	1.661264483e2	6.489816734e2	1.648770021e4
2.502500000e-2	8.349524788e1	1.613257661e2	5.021283771e2	1.948711868e4
3.336666667e-2	8.539025401e1	1.584200900e2	4.246653803e2	1.172903584e4
4.170833333e-2	8.804326259e1	1.558934152e2	4.444584281e2	1.815572923e3
5.005000000e-2	9.069627117e1	1.532404066e2	4.483121860e2	9.512108583e3
5.839166667e-2	9.259127730e1	1.499557293e2	5.771480346e2	2.232908435e4
6.673333333e-2	9.663395705e1	1.456603821e2	8.306188470e2	1.928811976e4
7.507500000e-2	1.005093501e2	1.385832105e2	7.740518608e2	4.945354314e4
8.341666667e-2	9.949632223e1	1.330678368e2	7.975186933e2	3.581721611e4
9.175833333e-2	9.398094846e1	1.269896698e2	6.764627444e2	2.927042221e4
1.001000000e-1	9.240512739e1	1.242882622e2	2.591733087e2	5.007682965e4
1.084416667e-1	9.385461472e1	1.226676411e2	3.275601783e2	2.918507847e4
1.167833333e-1	9.741387603e1	1.221027580e2	4.479720007e2	7.344063368e3
1.251250000e-1	1.012741397e2	1.217696791e2	4.097035846e2	1.433198049e4
1.334666667e-1	1.041412590e2	1.208933900e2	2.797396061e2	2.066097224e4
1.418083333e-1	1.050685334e2	1.190524445e2	1.871071647e2	1.088953924e4
1.501500000e-1	1.050373364e2	1.179031974e2	8.551942930e1	1.729442219e4
1.584916667e-1	1.061854560e2	1.181646963e2	2.150790265e2	7.803720266e3
1.668333333e-1	1.082758968e2	1.194482403e2	2.062803592e2	6.749382032e3
1.751750000e-1	1.096266006e2	1.182100952e2	1.993439978e2	2.118952038e3
1.835166667e-1	1.113149803e2	1.180975366e2	1.961211343e2	1.083153967e4
1.918583333e-1	1.128908014e2	1.184352125e2	2.267959337e2	1.180579995e4
2.002000000e-1	1.148042984e2	1.195607990e2	3.005912244e2	1.696403883e4
2.085416667e-1	1.164926781e2	1.219245306e2	3.651369031e2	1.654329831e4
2.168833333e-1	1.164926781e2	1.254138487e2	3.482929218e2	1.528146196e4
2.252250000e-1	1.155922089e2	1.276650217e2	2.719710792e2	1.726977800e4
2.335666667e-1	1.142415052e2	1.293534014e2	1.459549970e2	1.571390339e4
2.419083333e-1	1.135661533e2	1.290157254e2	1.267603398e2	
2.502500000e-1	1.123280081e2	1.284529322e2		
