mass_B
t	x	y	v	a
0.000000000e0	8.005572403e1	1.668047903e2		
8.341666667e-3	8.013529674e1	1.605981188e2	7.249781469e2	
1.668333333e-2	8.005572403e1	1.547097382e2	6.450246440e2	1.886642127e4
2.502500000e-2	8.077187843e1	1.498558028e2	4.796702708e2	2.260946019e4
3.336666667e-2	8.268162349e1	1.471503307e2	3.993946853e2	1.109924281e4
4.170833333e-2	8.506880482e1	1.447631493e2	4.293958447e2	5.032613268e3
5.005000000e-2	8.737641345e1	1.417393863e2	4.802390500e2	1.485279382e4
5.839166667e-2	8.960444936e1	1.381586143e2	6.553983210e2	1.997740804e4
6.673333333e-2	9.382180304e1	1.329068154e2	8.471232348e2	2.038930216e4
7.507500000e-2	9.819830215e1	1.269388620e2	7.296074443e2	6.341613744e4
8.341666667e-2	9.620898438e1	1.209709087e2	9.234429827e2	4.618162064e4
9.175833333e-2	8.817214056e1	1.152416735e2	8.642839564e2	3.327207037e4
1.001000000e-1	8.475051398e1	1.122179105e2	2.988141495e2	6.217289734e4
1.084416667e-1	8.610325007e1	1.107060290e2	3.834040628e2	3.827551427e4
1.167833333e-1	9.012690523e1	1.087524972e2	5.673204116e2	5.224397292e3
1.251250000e-1	9.466373403e1	1.066686451e2	4.704099278e2	2.119743296e4
1.334666667e-1	9.700919849e1	1.049808620e2	2.654623499e2	2.780633341e4
1.418083333e-1	9.696637864e1	1.028855155e2	1.830994057e2	8.137527808e3
1.501500000e-1	9.601325241e1	1.020930714e2	1.030296605e2	2.663829775e4
1.584916667e-1	9.811803296e1	1.016094926e2	3.977387308e2	1.542001320e4
1.668333333e-1	1.026312160e2	1.016094926e2	3.608942830e2	5.320487748e3
1.751750000e-1	1.041356104e2	1.014089067e2	2.345281282e2	8.932572400e3
1.835166667e-1	1.065426414e2	1.015091996e2	3.498090879e2	8.282396053e3
1.918583333e-1	1.096517231e2	1.033144728e2	3.552423454e2	5.416512910e3
2.002000000e-1	1.119584611e2	1.039162306e2	3.548861106e2	1.042009131e4
2.085416667e-1	1.149672498e2	1.059220897e2	4.179659800e2	1.780095417e4
2.168833333e-1	1.164716442e2	1.092317573e2	3.749405497e2	1.920332522e4
2.252250000e-1	1.162710583e2	1.120399601e2	3.301439019e2	1.417008914e4
2.335666667e-1	1.154687146e2	1.146475770e2	2.015444145e2	1.009564259e4
2.419083333e-1	1.152681287e2	1.152493348e2	1.402126059e2	
2.502500000e-1	1.142651991e2	1.166534362e2		
